title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,genres,n_ad_breaks,runtime_with_ads,scaled_popularity,children_scaled_popularity,adults_scaled_popularity,retirees_scaled_popularity,license_fee
Jumanji: The Next Level,6.931,7932,2019-12-04,801693929,123,125000000,38.772,"['Adventure', 'Comedy', 'Fantasy']",5,150.0,0.7364713802948881,0.7364714,0.7364714,0.4418828,1274032.71
Solo: A Star Wars Story,6.563,7904,2018-05-15,392952373,135,250000000,55.759,"['Science Fiction', 'Adventure', 'Action']",5,150.0,0.8522239568175596,0.6817792,0.852224,0.3408896,1083542.85
Transformers: Dark of the Moon,6.183,7736,2011-06-28,1123794079,154,195000000,10.499,"['Action', 'Science Fiction', 'Adventure']",6,180.0,0.223916212301381,0.179133,0.2239162,0.0895665,1828552.89
War of the Worlds,6.496,7728,2005-06-28,603873119,117,132000000,40.932,"['Adventure', 'Thriller', 'Science Fiction']",4,150.0,0.7543559622699217,0.4526136,0.754356,0.3017424,1053447.74
Ice Age: Dawn of the Dinosaurs,6.737,7680,2009-06-26,886686817,94,90000000,57.649,"['Animation', 'Comedy', 'Family', 'Adventure']",4,120.0,0.8623805788251361,0.8623806,0.5174283,0.5174283,1292024.18
The Jungle Book,6.86,7668,2016-04-07,966550600,106,175000000,33.274,"['Family', 'Adventure', 'Drama', 'Fantasy']",4,120.0,0.6847846348540455,0.5478277,0.5478277,0.4108708,1591860.72
The Secret Life of Pets,6.266,7664,2016-06-18,875457937,86,75000000,13.019,"['Adventure', 'Comedy', 'Animation', 'Family']",3,90.0,0.3208193209581068,0.3208193,0.1924916,0.1924916,1242549.52
Indiana Jones and the Kingdom of the Crystal Skull,5.998,7629,2008-05-21,786636033,122,185000000,47.907,"['Adventure', 'Action']",5,150.0,0.8050220575028597,0.8050221,0.8050221,0.3220088,1399963.24
Fast Five,7.251,7581,2011-04-20,626137675,130,125000000,8.589,"['Action', 'Thriller', 'Crime']",5,150.0,0.1281078359316498,0.0768647,0.1281078,0.0768647,1063365.21
Transformers: Age of Extinction,5.92,7581,2014-06-25,1104054072,165,210000000,57.581,"['Science Fiction', 'Action', 'Adventure']",6,180.0,0.8620222285148218,0.6896178,0.8620222,0.3448089,1840864.89
