title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,genres,n_ad_breaks,runtime_with_ads,scaled_popularity,children_scaled_popularity,adults_scaled_popularity,retirees_scaled_popularity,license_fee
The Lost Boys,7.0,1795,1987-07-31,32222567,97,8500000,36.706,"['Horror', 'Comedy', 'Thriller']",4,120.0,0.7181767858314414,0.4309061,0.7181768,0.4309061,71067.08
Mirror Mirror,5.918,3030,2012-03-15,183018522,106,85000000,21.241,"['Adventure', 'Comedy', 'Family', 'Fantasy']",4,120.0,0.5215439058849654,0.5215439,0.4172351,0.3129263,435622.23
Jackass 3D,6.609,1264,2010-10-15,117224271,99,20000000,14.615,"['Comedy', 'Documentary', 'Action']",4,120.0,0.3706097482295307,0.2964878,0.2964878,0.2964878,200669.13
Funny Girl,7.207,363,1968-09-19,52223306,155,14000000,15.987,"['Comedy', 'Drama', 'Romance']",6,180.0,0.4081946251669632,0.2449168,0.4081946,0.4081946,108267.97
Blade,6.762,5466,1998-08-21,131183530,121,45000000,37.081,"['Horror', 'Action']",5,150.0,0.7215904553414236,0.5772724,0.7215905,0.2886362,277420.24
300: Rise of an Empire,6.093,6055,2014-03-05,337580051,102,110000000,38.678,"['Action', 'Drama', 'War']",4,120.0,0.7356653409913131,0.4413992,0.5885323,0.5885323,681096.06
Alive,6.872,1290,1993-01-15,36733909,127,32000000,17.898,"['Adventure', 'Drama', 'Thriller']",5,150.0,0.4542413838998945,0.2725448,0.4542414,0.2725448,132880.69
It's Alive,4.142,53,2008-09-10,15500000,80,10000000,6.385,"['Horror', 'Science Fiction']",3,90.0,1e-06,4e-07,1e-06,4e-07,54600.0
The Incredibles,7.704,16584,2004-10-27,631442092,115,92000000,62.609,"['Action', 'Adventure', 'Animation', 'Family']",4,120.0,0.8872140486724204,0.887214,0.5323284,0.3548856,990530.51
Marley & Me,7.199,4312,2008-12-25,255743093,115,60000000,21.498,"['Comedy', 'Family']",4,120.0,0.5261603126324491,0.5261603,0.4209283,0.5261603,462891.71
The Contract,5.7,461,2006-04-05,5549200,96,25000000,8.981,"['Drama', 'Action', 'Thriller', 'Crime']",4,120.0,0.1498698859742069,0.0899219,0.1498699,0.1198959,78659.04
Communion,5.2,151,1989-11-10,1919653,103,5000000,13.52,"['Drama', 'Horror', 'Science Fiction', 'Thriller']",4,120.0,0.3372487644290822,0.1348995,0.3372488,0.2023493,26303.58
Capone,5.86,82,1975-04-16,2000000,101,970000,10.674,"['Crime', 'Drama']",4,120.0,0.2315675074763951,0.092627,0.2315675,0.2315675,16728.0
