title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,genres,n_ad_breaks,runtime_with_ads,scaled_popularity,children_scaled_popularity,adults_scaled_popularity,retirees_scaled_popularity,license_fee
Hugo,7.171,6763,2011-11-22,185770160,126,170000000,29.197,"['Adventure', 'Drama', 'Family']",5,150.0,0.6390887436813512,0.511271,0.511271,0.511271,642924.19
Dark Shadows,6.044,6754,2012-05-09,245527149,113,150000000,29.198,"['Comedy', 'Fantasy']",4,120.0,0.6391009072102052,0.6391009,0.6391009,0.5112807,666632.58
The Mummy,5.507,6741,2017-06-06,409231607,110,125000000,21.893,"['Fantasy', 'Thriller', 'Action', 'Adventure', 'Horror']",4,120.0,0.5331222397861063,0.4264978,0.5331222,0.2132489,803077.93
Juno,7.048,6736,2007-12-05,232372681,96,7500000,22.245,"['Comedy', 'Drama', 'Romance']",4,120.0,0.5391948622694811,0.3235169,0.5391949,0.5391949,308847.22
Lost in Translation,7.392,6734,2003-09-18,119723856,102,4000000,27.061,"['Drama', 'Romance']",4,120.0,0.6118556251134453,0.2447423,0.6118556,0.6118556,165268.63
Ocean's Twelve,6.564,6721,2004-12-09,362744280,125,110000000,27.103,"['Thriller', 'Crime']",5,150.0,0.6124166278141164,0.2449667,0.6124166,0.4899333,711293.14
50 First Dates,6.844,6705,2004-02-13,196482882,99,75000000,36.466,"['Comedy', 'Romance']",4,120.0,0.7159693590819706,0.5727755,0.7159694,0.7159694,427779.46
Fast & Furious,6.68,6702,2009-04-02,363164265,107,85000000,7.716,"['Action', 'Crime', 'Drama', 'Thriller']",4,120.0,0.0747088418203088,0.0448253,0.0747088,0.0597671,651797.12
8 Mile,7.124,6692,2002-11-08,242875078,111,41000000,36.179,"['Drama', 'Music']",4,120.0,0.7133059694982442,0.5706448,0.5706448,0.713306,401850.09
How the Grinch Stole Christmas,6.741,6688,2000-11-15,345823040,104,123000000,50.556,"['Family', 'Comedy', 'Fantasy']",4,120.0,0.8219423413246757,0.8219423,0.6575539,0.6575539,722187.65
Sully,7.177,6686,2016-09-07,240797623,96,60000000,23.191,"['Drama', 'History']",4,120.0,0.5549357429778589,0.2219743,0.5549357,0.5549357,444957.15
The Boss Baby,6.451,6682,2017-03-23,527965936,97,125000000,14.391,"['Animation', 'Comedy', 'Family']",4,120.0,0.3640487293870093,0.3640487,0.2184292,0.291239,945559.12
Cinderella,6.798,6679,2015-03-06,543514353,105,95000000,58.212,"['Romance', 'Fantasy', 'Family', 'Drama']",4,120.0,0.8653278704001921,0.6922623,0.6922623,0.6922623,892217.22
Cloud Atlas,6.884,6657,2012-10-26,130482868,172,102000000,23.803,"['Drama', 'Science Fiction']",6,210.0,0.5646969677147133,0.2258788,0.564697,0.4517576,413379.44
TRON: Legacy,6.459,6648,2010-12-14,400062763,125,170000000,45.665,"['Adventure', 'Action', 'Science Fiction']",5,150.0,0.7897804047659688,0.6318243,0.7897804,0.3159122,900075.32
Moonlight,7.392,6641,2016-10-21,65046687,111,4000000,16.748,['Drama'],4,120.0,0.427324605850004,0.1709298,0.4273246,0.4273246,99656.02
Superbad,7.229,6620,2007-03-20,170812526,113,20000000,51.547,['Comedy'],4,120.0,0.8279956096106567,0.8279956,0.8279956,0.8279956,264975.03
Jurassic Park III,6.126,6592,2001-07-18,368780809,92,93000000,1.49,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",4,120.0,1e-06,8e-07,1e-06,4e-07,677736.97
Tomorrowland,6.257,6591,2015-05-19,209154322,130,190000000,45.045,"['Adventure', 'Family', 'Mystery', 'Science Fiction']",5,150.0,0.7854029080880736,0.6283223,0.6283223,0.4712417,718985.19
Neighbors,6.178,6569,2014-05-08,270665134,97,18000000,17.158,['Comedy'],4,120.0,0.4371816437359405,0.4371816,0.4371816,0.4371816,379998.16
Wanted,6.508,6562,2008-06-19,342463063,110,75000000,29.371,"['Action', 'Thriller', 'Crime']",4,120.0,0.6411974373222113,0.3847185,0.6411974,0.3847185,602955.68
Nerve,7.045,6555,2016-06-27,85241496,96,19000000,14.439,"['Mystery', 'Adventure', 'Crime']",4,120.0,0.3654655150249772,0.2192793,0.3654655,0.2923724,159889.8
Rampage,6.451,6539,2018-04-11,428028233,107,120000000,109.045,"['Action', 'Adventure', 'Science Fiction']",4,120.0,1.0,0.8,1.0,0.4,813633.88
Cloverfield,6.672,6525,2008-01-15,170764026,85,25000000,29.625,"['Action', 'Thriller', 'Science Fiction']",3,90.0,0.6442479257867714,0.3865488,0.6442479,0.2576992,276916.83
Constantine,7.063,6521,2005-02-08,230884728,121,100000000,48.185,"['Fantasy', 'Action', 'Horror']",5,150.0,0.8068509472170091,0.6454808,0.8068509,0.3227404,529061.67
Click,6.3,6518,2006-06-23,240685326,107,82500000,34.068,"['Comedy', 'Drama', 'Fantasy']",4,120.0,0.6928775257722786,0.554302,0.6928775,0.554302,498822.39
Jack Reacher,6.607,6486,2012-12-20,218340595,130,60000000,44.484,"['Crime', 'Drama', 'Thriller', 'Action']",5,150.0,0.7813777832714138,0.4688267,0.7813778,0.6251022,418008.71
Easy A,6.811,6485,2010-09-16,75026327,93,8000000,26.846,['Comedy'],4,120.0,0.6089667337679272,0.6089667,0.6089667,0.6089667,121231.59
The Mummy Returns,6.358,6475,2001-05-04,443280904,130,98000000,45.092,"['Adventure', 'Action', 'Fantasy']",5,150.0,0.7857373335597573,0.7857373,0.7857373,0.3142949,779137.08
The Girl with the Dragon Tattoo,7.361,6475,2011-12-14,232617430,158,90000000,23.466,"['Thriller', 'Crime', 'Mystery']",6,180.0,0.5593613116272166,0.2237445,0.5593613,0.447489,507140.92
Bridge of Spies,7.222,6421,2015-10-15,165478348,141,40000000,15.627,"['Thriller', 'Drama']",5,180.0,0.3987391640001243,0.1594957,0.3987392,0.3189913,306574.02
Night at the Museum: Battle of the Smithsonian,6.1,6414,2009-05-20,413106170,105,150000000,27.683,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']",4,120.0,0.6200547863934052,0.6200548,0.4960438,0.3720329,867727.4
The Witch,6.927,6398,2015-01-27,40423945,92,3500000,33.875,"['Drama', 'Fantasy', 'Horror', 'Mystery']",4,120.0,0.6909319965597995,0.4145592,0.690932,0.5527456,68908.73
Hellboy,6.665,6392,2004-04-02,99318987,122,66000000,23.193,"['Fantasy', 'Action']",5,150.0,0.5549681656740055,0.5549682,0.5549682,0.2219873,289582.78
Teenage Mutant Ninja Turtles,5.901,6391,2014-08-07,485004754,101,125000000,76.327,"['Science Fiction', 'Action', 'Adventure', 'Comedy']",4,120.0,0.945065529391944,0.7560524,0.9450655,0.5670393,894005.7
Angels & Demons,6.697,6351,2009-05-13,485930816,138,150000000,31.307,"['Thriller', 'Mystery']",5,150.0,0.6636609653536613,0.2654644,0.663661,0.5309288,955116.98
Scary Movie,6.336,6346,2000-07-07,278019771,88,19000000,64.01,['Comedy'],3,90.0,0.8937977321559529,0.8937977,0.8937977,0.8937977,391223.73
Warcraft,6.364,6340,2016-05-25,433677183,123,160000000,37.312,"['Action', 'Adventure', 'Fantasy']",5,150.0,0.7236721365376404,0.7236721,0.7236721,0.2894689,916412.62
Yes Man,6.66,6336,2008-12-09,223241637,104,70000000,26.26,"['Comedy', 'Romance']",4,120.0,0.6009441135886813,0.4807553,0.6009441,0.6009441,447889.96
Prince of Persia: The Sands of Time,6.261,6334,2010-05-19,336365676,116,200000000,35.279,"['Adventure', 'Fantasy', 'Action']",4,150.0,0.7047815780055344,0.7047816,0.7047816,0.2819126,895638.81
Hansel & Gretel: Witch Hunters,6.029,6324,2013-01-17,226349749,88,50000000,61.884,"['Fantasy', 'Horror', 'Action']",3,90.0,0.8837363921105393,0.7069891,0.8837364,0.3534946,403619.7
